                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.72204,                 0.4607,                 1.1988,                0.98911,                0.95275,                0.98646,                0.79531,                0.62881,                0.45887,                 0.9324,             0.00031816,             0.00031816,             0.00031816
                     58,                0.68523,                0.43141,                 1.1396,                0.98927,                0.93383,                0.98257,                0.81035,                0.63556,                0.47971,                 0.9414,             0.00031109,             0.00031109,             0.00031109
                     59,                0.69729,                0.44238,                 1.1651,                0.97764,                0.94611,                0.98355,                0.74805,                0.79699,                0.49482,                  1.054,             0.00030402,             0.00030402,             0.00030402
                     60,                0.71339,                0.44939,                 1.1574,                0.99195,                0.94154,                0.98645,                0.78504,                0.67768,                0.49834,                0.94779,             0.00029695,             0.00029695,             0.00029695
                     61,                  0.684,                0.44448,                  1.151,                0.97512,                0.95548,                0.98402,                0.80359,                0.61454,                0.47056,                0.93811,             0.00028988,             0.00028988,             0.00028988
                     62,                0.66485,                0.43093,                 1.1424,                0.97783,                0.96486,                0.98586,                0.79488,                0.63648,                0.49522,                0.92335,             0.00028282,             0.00028282,             0.00028282
                     63,                0.66902,                0.44283,                 1.1608,                0.97535,                0.96859,                0.98963,                0.79807,                0.63051,                 0.4688,                0.92626,             0.00027575,             0.00027575,             0.00027575
                     64,                0.68276,                0.43892,                 1.1479,                0.97695,                0.96166,                0.98945,                 0.8002,                0.63548,                0.50642,                0.93701,             0.00026868,             0.00026868,             0.00026868
                     65,                0.65397,                0.42541,                 1.1309,                0.97979,                0.96147,                0.98874,                0.80277,                0.65439,                0.48575,                0.95302,             0.00026161,             0.00026161,             0.00026161
                     66,                 0.6692,                0.42815,                 1.1308,                0.98858,                0.96166,                0.99019,                 0.8201,                0.62118,                0.48577,                0.91343,             0.00025454,             0.00025454,             0.00025454
                     67,                0.66535,                0.42412,                 1.1333,                0.98977,                0.95782,                0.98757,                0.80664,                0.62836,                0.50033,                0.92356,             0.00024747,             0.00024747,             0.00024747
                     68,                0.66179,                0.42727,                  1.131,                0.97365,                0.96771,                0.98596,                0.81904,                0.59473,                0.47785,                0.91724,              0.0002404,              0.0002404,              0.0002404
                     69,                0.66234,                0.43347,                 1.1324,                 0.9765,                0.96645,                0.99084,                0.82854,                 0.6118,                0.50005,                0.91914,             0.00023334,             0.00023334,             0.00023334
                     70,                0.65411,                 0.4174,                 1.1405,                0.98947,                0.95691,                0.98938,                0.81967,                0.61387,                0.50854,                0.91344,             0.00022627,             0.00022627,             0.00022627
                     71,                0.62643,                0.41227,                  1.115,                0.97842,                0.97125,                0.99107,                0.82211,                0.61144,                0.51964,                0.93335,              0.0002192,              0.0002192,              0.0002192
                     72,                0.65842,                0.42027,                 1.1268,                0.96974,                0.97762,                0.98933,                0.81437,                0.59746,                0.47199,                0.90408,             0.00021213,             0.00021213,             0.00021213
                     73,                0.63851,                0.40942,                 1.1179,                0.96983,                0.97923,                0.98954,                0.83521,                0.58498,                0.54062,                0.90524,             0.00020506,             0.00020506,             0.00020506
