                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.19522,                0.14988,                0.87653,                0.99959,                0.98562,                0.99432,                0.98871,                   0.15,                0.10869,                0.63461,             0.00023334,             0.00023334,             0.00023334
                     70,                0.19187,                0.14997,                0.87322,                      1,                0.98702,                0.99434,                0.98759,                0.14685,                0.10638,                 0.6348,             0.00022627,             0.00022627,             0.00022627
                     71,                0.19201,                0.15012,                0.87058,                      1,                0.98699,                0.99438,                0.98857,                0.14921,                0.10895,                0.63322,              0.0002192,              0.0002192,              0.0002192
                     72,                0.19039,                0.14887,                0.87622,                0.99947,                0.98562,                0.99441,                 0.9883,                0.14667,                0.10559,                0.63256,             0.00021213,             0.00021213,             0.00021213
                     73,                0.18714,                0.14612,                0.87286,                      1,                0.98692,                0.99444,                0.98908,                0.14507,                0.10577,                0.63205,             0.00020506,             0.00020506,             0.00020506
                     74,                0.18774,                 0.1494,                0.87247,                0.98872,                0.98882,                0.99449,                 0.9897,                0.14561,                0.10588,                0.63158,             0.00019799,             0.00019799,             0.00019799
                     75,                0.17977,                0.14022,                0.86793,                 0.9997,                0.98562,                0.99438,                0.98784,                0.14487,                0.10926,                0.63111,             0.00019092,             0.00019092,             0.00019092
                     76,                0.17777,                0.14128,                0.87038,                0.99969,                0.98678,                 0.9944,                0.98905,                0.14114,                0.10457,                0.63155,             0.00018385,             0.00018385,             0.00018385
                     77,                0.18147,                0.14349,                0.87162,                0.99938,                0.98562,                0.99446,                0.98929,                0.14143,                0.10476,                 0.6308,             0.00017679,             0.00017679,             0.00017679
                     78,                0.17287,                0.13993,                 0.8679,                0.99944,                0.98562,                0.99443,                0.98695,                0.13874,                0.10238,                0.63144,             0.00016972,             0.00016972,             0.00016972
                     79,                0.17768,                0.14005,                0.86973,                0.99946,                0.98562,                0.99431,                0.98773,                0.13483,                0.10252,                0.63044,             0.00016265,             0.00016265,             0.00016265
                     80,                0.17796,                0.14126,                0.87271,                0.99942,                0.98562,                 0.9945,                0.98771,                0.13922,                0.10739,                0.63028,             0.00015558,             0.00015558,             0.00015558
                     81,                0.17465,                0.13945,                 0.8674,                0.99933,                0.98562,                0.99431,                0.98759,                0.13688,                0.10511,                0.62993,             0.00014851,             0.00014851,             0.00014851
                     82,                0.16811,                0.13617,                0.86664,                0.99949,                0.98562,                0.99433,                0.98818,                0.13957,                0.10422,                0.63075,             0.00014144,             0.00014144,             0.00014144
                     83,                0.16646,                0.13376,                0.86584,                0.99942,                0.98562,                0.99443,                0.98924,                0.13475,                0.10122,                0.62908,             0.00013437,             0.00013437,             0.00013437
