                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.26021,                0.18424,                 0.9116,                 0.9995,                0.98705,                0.99473,                0.98465,                0.18434,                0.13236,                0.65289,             0.00036057,             0.00036057,             0.00036057
                     52,                0.26431,                0.18631,                0.90765,                0.99957,                0.98695,                0.99445,                0.97785,                0.18419,                0.13241,                0.65278,              0.0003535,              0.0003535,              0.0003535
                     53,                0.26136,                0.18723,                0.90811,                      1,                  0.987,                0.99461,                0.98287,                 0.1867,                0.13097,                 0.6534,             0.00034643,             0.00034643,             0.00034643
                     54,                0.25133,                0.18164,                0.90073,                0.99984,                0.98714,                0.99444,                0.98001,                0.18055,                 0.1269,                0.65086,             0.00033936,             0.00033936,             0.00033936
                     55,                0.24742,                0.17926,                0.90221,                0.99968,                0.98693,                0.99437,                0.98534,                0.17917,                0.12975,                0.64921,              0.0003323,              0.0003323,              0.0003323
                     56,                 0.2422,                0.17693,                0.89881,                0.99944,                0.98562,                 0.9944,                0.98316,                0.17898,                0.12864,                0.65036,             0.00032523,             0.00032523,             0.00032523
                     57,                0.24375,                0.17506,                0.89798,                0.99948,                0.98562,                0.99438,                0.98434,                0.16419,                0.12252,                0.64518,             0.00031816,             0.00031816,             0.00031816
                     58,                0.23481,                0.17124,                0.89723,                0.99977,                0.98562,                0.99449,                0.98812,                0.16155,                0.12524,                0.64355,             0.00031109,             0.00031109,             0.00031109
                     59,                0.23054,                0.17048,                0.89506,                0.99958,                0.98562,                0.99439,                 0.9861,                0.16854,                 0.1292,                0.64728,             0.00030402,             0.00030402,             0.00030402
                     60,                0.22841,                0.16861,                0.89151,                0.99972,                0.98562,                 0.9945,                0.98537,                0.17214,                0.13389,                0.64497,             0.00029695,             0.00029695,             0.00029695
                     61,                 0.2298,                0.16793,                 0.8929,                0.99966,                0.98562,                 0.9944,                0.98631,                0.16252,                0.12142,                0.64286,             0.00028988,             0.00028988,             0.00028988
                     62,                0.22654,                0.16955,                0.89277,                      1,                0.98702,                 0.9944,                0.98771,                0.16275,                0.12102,                0.64203,             0.00028282,             0.00028282,             0.00028282
                     63,                0.22589,                0.16647,                0.89352,                0.99976,                0.98562,                0.99438,                0.98785,                0.16387,                 0.1211,                0.64213,             0.00027575,             0.00027575,             0.00027575
                     64,                0.22119,                0.16647,                0.89126,                0.99961,                0.98562,                0.99431,                0.98624,                 0.1535,                0.11778,                0.63835,             0.00026868,             0.00026868,             0.00026868
                     65,                0.21654,                0.16333,                 0.8863,                      1,                0.98704,                0.99446,                0.98827,                0.15839,                0.12238,                0.64123,             0.00026161,             0.00026161,             0.00026161
                     66,                0.21134,                0.16066,                0.88354,                0.99962,                0.98562,                0.99447,                 0.9886,                0.14847,                0.11441,                0.63833,             0.00025454,             0.00025454,             0.00025454
                     67,                0.21528,                0.16205,                0.88586,                0.99967,                0.98562,                0.99441,                 0.9888,                0.14585,                0.11841,                0.63682,             0.00024747,             0.00024747,             0.00024747
                     68,                0.20975,                0.15867,                0.88589,                0.99957,                0.98692,                 0.9945,                0.98758,                0.14701,                0.11223,                0.63843,              0.0002404,              0.0002404,              0.0002404
                     69,                0.20831,                0.15631,                0.88477,                0.99981,                0.98562,                0.99447,                0.98934,                0.15791,                0.11582,                0.63778,             0.00023334,             0.00023334,             0.00023334
                     70,                0.20628,                0.15712,                0.88162,                0.99965,                0.98562,                0.99443,                0.98731,                0.14506,                0.11255,                0.63633,             0.00022627,             0.00022627,             0.00022627
                     71,                0.20326,                0.15443,                0.87971,                0.99954,                0.98562,                0.99445,                0.98854,                0.14728,                0.11851,                0.63706,              0.0002192,              0.0002192,              0.0002192
                     72,                0.20441,                0.15599,                0.88256,                0.99972,                0.98562,                0.99435,                 0.9882,                0.14571,                0.11055,                0.63583,             0.00021213,             0.00021213,             0.00021213
                     73,                0.20048,                0.15366,                0.88248,                0.99944,                0.98562,                0.99446,                0.98819,                0.14752,                0.11525,                0.63442,             0.00020506,             0.00020506,             0.00020506
                     74,                 0.1979,                0.15392,                0.88001,                 0.9994,                0.98562,                0.99435,                 0.9899,                0.14613,                0.10829,                0.63537,             0.00019799,             0.00019799,             0.00019799
                     75,                0.18939,                0.14598,                0.87592,                0.99932,                0.98562,                 0.9944,                0.98875,                0.14217,                0.11118,                0.63578,             0.00019092,             0.00019092,             0.00019092
                     76,                0.18724,                0.14619,                0.87661,                0.99977,                0.98562,                 0.9944,                 0.9888,                0.14535,                0.11137,                0.63526,             0.00018385,             0.00018385,             0.00018385
                     77,                0.19363,                0.14838,                0.88037,                0.99921,                0.98562,                0.99449,                0.98901,                 0.1404,                0.10689,                0.63418,             0.00017679,             0.00017679,             0.00017679
                     78,                0.18526,                0.14455,                0.87579,                0.99972,                0.98562,                 0.9944,                0.98929,                0.14286,                0.10801,                0.63402,             0.00016972,             0.00016972,             0.00016972
                     79,                0.18847,                 0.1448,                0.87791,                      1,                0.98697,                0.99446,                 0.9896,                0.13928,                0.11067,                0.63305,             0.00016265,             0.00016265,             0.00016265
                     80,                0.18975,                0.14578,                0.87908,                0.99969,                0.98562,                0.99441,                0.98923,                0.14133,                0.11076,                0.63324,             0.00015558,             0.00015558,             0.00015558
                     81,                0.18362,                0.14348,                0.87528,                0.99959,                0.98562,                 0.9944,                0.98904,                0.13616,                0.10776,                0.63242,             0.00014851,             0.00014851,             0.00014851
                     82,                0.17948,                 0.1415,                0.87316,                0.99944,                0.98562,                0.99441,                0.98897,                0.13735,                0.10655,                0.63378,             0.00014144,             0.00014144,             0.00014144
                     83,                0.17692,                0.13823,                0.87256,                0.99957,                0.98562,                0.99447,                  0.989,                0.13719,                0.10885,                0.63167,             0.00013437,             0.00013437,             0.00013437
                     84,                 0.1703,                0.13756,                0.86934,                0.99958,                0.98562,                0.99434,                0.98884,                 0.1376,                0.10487,                0.63183,             0.00012731,             0.00012731,             0.00012731
                     85,                  0.173,                 0.1373,                0.87134,                0.99948,                0.98562,                0.99447,                0.98862,                0.13913,                0.10808,                0.63091,             0.00012024,             0.00012024,             0.00012024
                     86,                0.17246,                 0.1354,                0.87035,                0.99966,                0.98562,                0.99449,                0.98855,                0.13352,                0.10368,                0.63035,             0.00011317,             0.00011317,             0.00011317
                     87,                0.16578,                 0.1321,                0.86784,                0.99964,                0.98562,                0.99446,                0.98845,                0.13308,                0.10709,                0.63033,              0.0001061,              0.0001061,              0.0001061
                     88,                0.16762,                0.13349,                 0.8721,                      1,                0.98695,                0.99452,                0.98886,                0.13259,                0.10512,                0.62883,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 0.1631,                0.13062,                0.86732,                0.99979,                0.98562,                0.99438,                0.98941,                0.13384,                0.10887,                0.62931,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.16529,                0.13394,                0.86678,                0.99967,                0.98562,                 0.9945,                0.98903,                0.13684,                0.10702,                0.62946,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.15288,                0.12114,                0.83105,                0.99951,                0.98562,                0.99448,                0.98875,                 0.1115,                0.10795,                0.62635,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.13737,                0.11309,                0.82677,                0.99949,                0.98701,                0.99438,                 0.9895,                0.10811,                0.10087,                0.62614,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 0.1278,                0.10805,                0.82369,                0.99943,                0.98562,                0.99446,                0.98989,                0.10477,                0.09904,                0.62558,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.12925,                 0.1094,                0.82771,                0.99946,                0.98562,                0.99438,                0.98872,                0.10126,                0.09757,                0.62495,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.13148,                0.11019,                0.82884,                0.99945,                0.98562,                0.99452,                0.98856,                0.09976,                0.09452,                0.62492,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.12574,                0.10677,                0.81941,                0.99944,                0.98562,                0.99446,                0.98849,                0.09757,                0.09442,                0.62376,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.11881,                0.10348,                0.82114,                0.99939,                0.98562,                0.99441,                0.98875,                0.09727,                  0.093,                0.62377,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.12179,                 0.1045,                0.82096,                0.99936,                0.98562,                0.99434,                0.98928,                0.09604,                0.09148,                 0.6238,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.11715,                0.10168,                0.82291,                 0.9993,                0.98562,                0.99438,                0.98913,                 0.0949,                 0.0913,                0.62381,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.11543,                0.10127,                0.82027,                0.99924,                0.98562,                0.99445,                0.98943,                0.09457,                0.08967,                0.62321,             1.4209e-05,             1.4209e-05,             1.4209e-05
